author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
ID 117652247,homeowner,https://magadan.cian.ru/sale/flat/303287102/,Магадан,sale,flat,2,5,3,81.6,-1,0,13000000,Магадан, Набережная реки Магаданки,75к2,,
ID 72103743,unknown,https://magadan.cian.ru/sale/flat/303345764/,Магадан,sale,flat,2,5,2,42.6,-1,0,6700000,Магадан,Пролетарская ,68А,,
ID 117638053,homeowner,https://magadan.cian.ru/sale/flat/303203058/,Магадан,sale,flat,3,5,1,37.2,-1,0,5800000,Магадан,Якутская ,51,,
ID 364281,realtor,https://magadan.cian.ru/sale/flat/291027299/,Магадан,sale,flat,2,5,3,68.4,-1,0,10000000,Магадан, Берзина,11Б,,
ID 99726020,homeowner,https://magadan.cian.ru/sale/flat/304347771/,Магадан,sale,flat,3,6,2,42.5,-1,0,6500000,Магадан,Транспортная ,10,,
ID 17492648,homeowner,https://magadan.cian.ru/sale/flat/304155579/,Магадан,sale,flat,4,6,3,72.0,-1,0,11000000,Магадан,Клубная ,12к3,,
ID 20276720,homeowner,https://magadan.cian.ru/sale/flat/293597929/,Магадан,sale,flat,4,5,2,58.1,-1,0,11990000,Магадан,Парковая ,3к1,,
ID 117650250,homeowner,https://magadan.cian.ru/sale/flat/304380386/,Магадан,sale,flat,5,5,2,44.2,-1,0,4000000,Магадан, Лево-Набережная,23,,
ID 20549003,homeowner,https://magadan.cian.ru/sale/flat/301847358/,Магадан,sale,flat,5,5,3,70.0,-1,0,6800000,Магадан,Пролетарская ,118к2,,
ID 113751663,homeowner,https://magadan.cian.ru/sale/flat/302371009/,Магадан,sale,flat,5,5,3,59.8,-1,0,8850000,Магадан,Портовая ,38к3,,
Светлана Шестакова,realtor,https://magadan.cian.ru/sale/flat/301650033/,Магадан,sale,flat,5,5,2,56.1,-1,0,2550000,Дукча мкр, Шмелева,,,
Светлана Шестакова,realtor,https://magadan.cian.ru/sale/flat/303530425/,Магадан,sale,flat,3,5,2,43.4,-1,0,2200000,Снежный мкр, Майская,12А,,
ИМПЕРИЯ НЕДВИЖИМОСТИ,real_estate_agent,https://magadan.cian.ru/sale/flat/303358805/,Магадан,sale,flat,3,5,2,48.0,-1,0,4600000,Магадан,Пролетарская ,112,,
Светлана Шестакова,realtor,https://magadan.cian.ru/sale/flat/303888331/,Магадан,sale,flat,5,5,2,44.0,-1,0,6200000,Магадан,Якутская ,69Б,,
Светлана Шестакова,realtor,https://magadan.cian.ru/sale/flat/303681112/,Магадан,sale,flat,5,5,1,22.3,-1,0,2700000,Магадан,Колымская ,15А,,
Светлана Шестакова,realtor,https://magadan.cian.ru/sale/flat/299201513/,Магадан,sale,flat,4,4,3,75.1,-1,0,11850000,Магадан,проспект Карла Маркса,33/15,,
ИМПЕРИЯ НЕДВИЖИМОСТИ,real_estate_agent,https://magadan.cian.ru/sale/flat/304310143/,Магадан,sale,flat,2,5,3,69.0,-1,0,5100000,Снежный мкр, Майская,12А,,
