author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
VESPER,developer,https://www.cian.ru/sale/flat/262519758/,Москва,sale,flat,5,21,2,110.6,-1,0,103787040.0,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
Виктория Иванова,realtor,https://www.cian.ru/sale/flat/302016445/,Москва,sale,flat,3,5,3,116.0,-1,0,98000000.0,Пресненский,Столярный переулок,3к34,Улица 1905 года,Рассвет Loft-Studio
Главстрой,developer,https://www.cian.ru/sale/flat/301772281/,Москва,sale,flat,2,8,2,48.83,-1,0,24219680.0,Котловка,31/2,31/2,Профсоюзная,Новые Академики ЖК
ID 108172779,real_estate_agent,https://www.cian.ru/sale/flat/301496936/,Москва,sale,flat,7,8,1,53.2,-1,0,58786000.0,Таганский,Славянская площадь,2/5с1,Китай-город,LUMIN
VESPER,developer,https://www.cian.ru/sale/flat/286258299/,Москва,sale,flat,5,9,2,104.2,-1,0,143796000.0,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/302655849/,Москва,sale,flat,6,6,-1,556.4,-1,0,400000000.0,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
Sminex,developer,https://www.cian.ru/sale/flat/293713880/,Москва,sale,flat,2,14,2,85.6,-1,0,168270000.0,Якиманка,,,Боровицкая,Лаврушинский ЖК
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/302081797/,Москва,sale,flat,2,10,2,69.4,-1,0,85000000.0,Тверской, Палиха,4,Менделеевская,Клубный дом Maison Rouge
EraOneHolding,developer,https://www.cian.ru/sale/flat/284404561/,Москва,sale,flat,8,8,2,121.2,-1,0,159473684.0,Арбат, Арбат,24,Смоленская,Turandot Residences
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/303777811/,Москва,sale,flat,29,34,-1,330.0,-1,0,462000000.0,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9
MR Group,developer,https://www.cian.ru/sale/flat/304294682/,Москва,sale,flat,2,46,2,63.78,-1,0,30642834.0,Даниловский,Дубининская ,59А,Серпуховская,Павелецкая Сити
EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/303126859/,Москва,sale,flat,7,15,4,105.0,-1,0,88500000.0,Раменки,Винницкая ,8к3,Раменки,Настоящее
MR Group,developer,https://www.cian.ru/sale/flat/302792260/,Москва,sale,flat,4,13,2,85.76,-1,0,108088817.0,Мещанский,Садовая-Сухаревская ,14,Цветной бульвар,Клубный дом Forum
ALFA real estate,real_estate_agent,https://www.cian.ru/sale/flat/300964449/,Москва,sale,flat,20,22,2,38.4,-1,0,13999000.0,Южное Тушино,бульвар Яна Райниса,45К2,Сходненская,
Среда,developer,https://www.cian.ru/sale/flat/304434864/,Москва,sale,flat,8,30,2,56.31,-1,0,23943012.0,Кунцево,48-й кв-л,,Кунцевская,Кутузовский Квартал ЖК
Life Style,real_estate_agent,https://www.cian.ru/sale/flat/294212104/,Москва,sale,flat,34,78,2,76.1,-1,0,62000000.0,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
MR Group,developer,https://www.cian.ru/sale/flat/300287890/,Москва,sale,flat,5,43,2,57.89,-1,0,27611151.0,Савеловский,2-я Хуторская ,34,Дмитровская,SYMPHONY 34
Тимур Ярыш,realtor,https://www.cian.ru/sale/flat/304283080/,Москва,sale,flat,7,27,3,66.2,-1,0,54500000.0,Беговой,Верхняя ,20к1,Белорусская,Суббота
Среда,developer,https://www.cian.ru/sale/flat/303859205/,Москва,sale,flat,6,27,2,53.6,-1,0,20630640.0,Очаково-Матвеевское,Очаково мкр,,Аминьевская,Среда на Лобачевского
Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/300822468/,Москва,sale,flat,5,21,3,116.8,-1,0,115000000.0,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/303040420/,Москва,sale,flat,4,6,2,74.91,-1,0,142778460.0,Замоскворечье,Космодамианская набережная,4/22С8,Новокузнецкая,Клубный дом Космо 4/22
Бюро Эстейт Городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/303395678/,Москва,sale,flat,5,21,3,120.0,-1,0,120000000.0,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
ANT Development,developer,https://www.cian.ru/sale/flat/303519421/,Москва,sale,flat,2,10,2,59.8,-1,0,66618396.0,Дорогомилово,,3к8,Поклонная,Виктори Парк Резиденсез ЖК
MHEstate - Элитная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300824521/,Москва,sale,flat,25,30,3,134.0,-1,0,66000000.0,Проспект Вернадского,проспект Вернадского,37к1А,Проспект Вернадского,
PIONEER,developer,https://www.cian.ru/sale/flat/301513284/,Москва,sale,flat,4,22,2,47.2,-1,0,24921930.0,Марьина роща,Полковая ,1С12,Савёловская,PRIDE
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300023478/,Москва,sale,flat,2,12,5,160.3,-1,0,170000000.0,Хамовники,2-я Фрунзенская ,8,Фрунзенская,Андреевский
Главстрой,developer,https://www.cian.ru/sale/flat/296921092/,Москва,sale,flat,2,18,2,74.6,-1,0,30350099.0,Филевский парк,Береговой проезд,2,Народное Ополчение,Береговой-2
ELSTATE,real_estate_agent,https://www.cian.ru/sale/flat/298234538/,Москва,sale,flat,7,7,-1,245.0,-1,0,155000000.0,Пресненский,Никитский бульвар,12,Арбатская,
MR Group,developer,https://www.cian.ru/sale/flat/298278959/,Москва,sale,flat,2,37,2,64.3,-1,0,41616568.0,Беговой,Ленинградский проспект,вл8,Белорусская,Slava
